Position,Name,FPPG,New projection,Another projection,Yet another projection
D,Baltimore Ravens,11.69,10.7722,24.7577,10.4048
D,Jacksonville Jaguars,13,10.6048,22.552,9.8886
D,Denver Broncos,6.94,9.0262,21.641,8.6686
D,New Orleans Saints,9.44,9.4886,32.221,9.3049
D,Buffalo Bills,6.5,5.0494,-7.9754,4.5947
D,Minnesota Vikings,7.5,7.7887,25.0327,7.3391
D,Cincinnati Bengals,6.38,6.6823,3.2939,6.2606
D,Los Angeles Chargers,10,7.3227,14.9112,6.5588
D,Carolina Panthers,8.63,9.1318,17.0055,6.4827
D,Tennessee Titans,6.94,9.0148,16.0815,8.4484
D,New England Patriots,7.94,9.3104,23.6505,9.05
D,Pittsburgh Steelers,8.69,9.0105,19.9689,9.2342
D,Arizona Cardinals,7.06,7.8107,12.6009,5.6201
D,Seattle Seahawks,8.88,8.6858,5.4828,6.1285
D,Washington Redskins,7.25,9.1534,11.2553,6.6759
D,Houston Texans,5.19,1.8527,-6.0872,1.3553
D,Indianapolis Colts,5.56,7.298,13.0505,4.9136
D,Kansas City Chiefs,7.81,5.5138,0.6522,5.1995
D,New York Giants,5.63,5.2508,2.6465,5.0311
D,San Francisco 49ers,5.13,5.2366,-4.9694,5.002
D,Dallas Cowboys,7.19,6.7769,3.7756,5.8143
D,Tampa Bay Buccaneers,6.94,5.1587,-10.3321,4.8496
D,Miami Dolphins,5.81,6.9201,8.1716,5.7858
D,Cleveland Browns,4.81,4.0089,0.6137,3.6395
QB,Jameis Winston,16.36,0,,0
QB,Tom Brady,18.99,19.8566,53.1862,18.6222
QB,Drew Brees,16.91,18.8165,58.9327,17.5175
QB,Deshaun Watson,25.27,16.7596,32.4372,15.3865
QB,Cam Newton,19.72,16.9751,43.9145,16.2791
QB,Ben Roethlisberger,18.32,17.3529,43.4312,16.2761
QB,Russell Wilson,22.43,16.7032,32.6411,15.6003
QB,Kirk Cousins,18.16,16.7559,49.3626,16.2567
QB,Philip Rivers,17.52,17.464,45.7228,16.3569
QB,Andrew Luck,21.38,17.145,44.5161,16.8621
QB,Marcus Mariota,15.03,15.0333,35.8204,14.4621
QB,Jimmy Garoppolo,15.4,12.2798,20.0059,11.5504
QB,Dak Prescott,17.1,16.5205,32.3133,14.8554
QB,Alex Smith,20.01,15.445,34.5377,14.9241
QB,Andy Dalton,13.92,15.6923,31.3891,14.6861
QB,Patrick Mahomes,11.36,,,
QB,Tyrod Taylor,15.11,14.3685,30.7257,12.8805
QB,Blake Bortles,16.42,14.101,36.8429,13.513
QB,Sam Bradford,13.49,13.3185,34.7927,12.2442
QB,Case Keenum,16.33,14.2892,38.82,12.8205
QB,Eli Manning,13.35,11.5067,23.7816,10.6306
QB,Ryan Tannehill,15.55,13.4713,31.5754,12.7436
QB,Ryan Fitzpatrick,12.82,13.3396,16.0643,12.4069
QB,Jacoby Brissett,13.31,1.4572,12.8535,0.5932
QB,Joe Flacco,12.38,12.3349,36.2567,11.147
QB,Baker Mayfield,0,,,
QB,Lamar Jackson,0,,,
QB,Matt McGloin,0.57,0.0021,,0.0009
QB,Kevin Hogan,9.69,0.0017,,0.0007
QB,Chad Kelly,0,,,
QB,Nathan Peterman,3.85,5.3689,2.8342,4.0271
QB,Bryce Petty,7.07,,,
QB,Taylor Heinicke,0.6,,,
QB,Kyle Lauletta,0,,,
QB,Peter Pujals,0,,,
QB,Chad Kanoff,0,,,
QB,Jack Heneghan,0,,,
QB,Logan Woodside,0,,,
QB,Stephen Morris,0,,,
QB,Alex McGough,0,,,
QB,Colt McCoy,0,0.1791,,0.0785
QB,Tanner Lee,0,,,
QB,C.J. Beathard,15.8,0.6499,,0.2761
QB,Joe Webb III,2.9,,,
QB,Tom Savage,7.09,,,
QB,Nic Shimonek,0,,,
QB,Garrett Gilbert,0,,,
QB,Robert Griffin III,13.89,0.1476,,0.0589
QB,Brandon Weeden,0,0.1621,,0.0762
